,feeling,news,news_tokens,news_tokens_tagged
1055,neutral,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .","['master', 'mayawas', 'jointly', 'develop', 'nokia', 'siemens', 'network', 'ufa', 'fremantlemedia', 'actively', 'advertise', 'maxi', 'end', 'may']","[('master', 'NN'), ('mayawas', 'NN'), ('jointly', 'RB'), ('develop', 'VB'), ('nokia', 'NN'), ('siemens', 'NNS'), ('network', 'NN'), ('ufa', 'JJ'), ('fremantlemedia', 'NN'), ('actively', 'RB'), ('advertise', 'JJ'), ('maxi', 'JJ'), ('end', 'NN'), ('may', 'MD')]"
1056,neutral,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,"['medical', 'device', 'russia', 'brandnew', 'market', 'analysis', 'give', 'clear', 'overview', 'actual', 'situation', 'future', 'outlook', 'medical', 'device', 'market', 'russia']","[('medical', 'JJ'), ('device', 'NN'), ('russia', 'NN'), ('brandnew', 'NN'), ('market', 'NN'), ('analysis', 'NN'), ('give', 'VBP'), ('clear', 'JJ'), ('overview', 'IN'), ('actual', 'JJ'), ('situation', 'NN'), ('future', 'NN'), ('outlook', 'NN'), ('medical', 'JJ'), ('device', 'NN'), ('market', 'NN'), ('russia', 'NN')]"
1057,positive,"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .","['metric', 'qpr', 'scorecard', 'support', 'date', 'text', 'milestonebased', 'value', 'improve', 'support', 'manage', 'project', 'around', 'performance', 'processrelated', 'content']","[('metric', 'JJ'), ('qpr', 'NN'), ('scorecard', 'NN'), ('support', 'NN'), ('date', 'NN'), ('text', 'NN'), ('milestonebased', 'VBD'), ('value', 'NN'), ('improve', 'VB'), ('support', 'NN'), ('manage', 'NN'), ('project', 'NN'), ('around', 'IN'), ('performance', 'NN'), ('processrelated', 'VBD'), ('content', 'NN')]"
1058,neutral,Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,"['mformation', 'provide', 'enhance', 'management', 'application', 'enable', 'configuration', 'control', 'throughout', 'lifecycle']","[('mformation', 'NN'), ('provide', 'VB'), ('enhance', 'NN'), ('management', 'NN'), ('application', 'NN'), ('enable', 'JJ'), ('configuration', 'NN'), ('control', 'NN'), ('throughout', 'IN'), ('lifecycle', 'NN')]"
1059,neutral,"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .","['mr', 'jorma', 'valkama', 'manage', 'director', 'suomen', 'paikallissanomat', 'oy', 'state', 'rannikkoseutu', 'complement', 'outstanding', 'way', 'current', 'product', 'range', 'company']","[('mr', 'NN'), ('jorma', 'NN'), ('valkama', 'NN'), ('manage', 'NN'), ('director', 'NN'), ('suomen', 'NNS'), ('paikallissanomat', 'VBP'), ('oy', 'JJ'), ('state', 'NN'), ('rannikkoseutu', 'NN'), ('complement', 'NN'), ('outstanding', 'JJ'), ('way', 'NN'), ('current', 'JJ'), ('product', 'NN'), ('range', 'NN'), ('company', 'NN')]"
1060,neutral,"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .","['mr', 'mikko', 'saavalainen', 'head', 'comptel', 'global', 'sale', 'conclude', 'gibtelecom', 'provide', 'perfect', 'illustration', 'variety', 'business', 'technical', 'regulatory', 'challenge', 'operator', 'face', 'os', 'today']","[('mr', 'NN'), ('mikko', 'NN'), ('saavalainen', 'JJ'), ('head', 'NN'), ('comptel', 'NN'), ('global', 'JJ'), ('sale', 'NN'), ('conclude', 'NN'), ('gibtelecom', 'NN'), ('provide', 'VBP'), ('perfect', 'JJ'), ('illustration', 'NN'), ('variety', 'NN'), ('business', 'NN'), ('technical', 'JJ'), ('regulatory', 'JJ'), ('challenge', 'NN'), ('operator', 'NN'), ('face', 'NN'), ('os', 'NN'), ('today', 'NN')]"
1061,neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .","['neste', 'oil', 'say', 'result', 'biomass', 'liquid', 'demonstration', 'plant', 'commission', 'june', 'promise', 'decision', 'commercial', 'plant', 'take']","[('neste', 'NN'), ('oil', 'NN'), ('say', 'VBP'), ('result', 'NN'), ('biomass', 'NN'), ('liquid', 'NN'), ('demonstration', 'NN'), ('plant', 'NN'), ('commission', 'NN'), ('june', 'NN'), ('promise', 'NN'), ('decision', 'NN'), ('commercial', 'JJ'), ('plant', 'NN'), ('take', 'VB')]"
1062,neutral,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .","['nokia', 'continue', 'invest', 'future', 'development', 'qt', 'digia', 'responsible', 'commercial', 'license', 'service', 'business']","[('nokia', 'JJ'), ('continue', 'VBP'), ('invest', 'JJS'), ('future', 'NN'), ('development', 'NN'), ('qt', 'NN'), ('digia', 'NN'), ('responsible', 'JJ'), ('commercial', 'JJ'), ('license', 'NN'), ('service', 'NN'), ('business', 'NN')]"
1063,neutral,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .","['nonwovens', 'specialty', 'paper', 'make', 'ahlstrom', 'use', 'large', 'variety', 'everyday', 'product', 'eg', 'filter', 'wipe', 'floor', 'label', 'tape']","[('nonwovens', 'NNS'), ('specialty', 'VBP'), ('paper', 'NN'), ('make', 'NN'), ('ahlstrom', 'NN'), ('use', 'NN'), ('large', 'JJ'), ('variety', 'NN'), ('everyday', 'JJ'), ('product', 'NN'), ('eg', 'NN'), ('filter', 'NN'), ('wipe', 'JJ'), ('floor', 'NN'), ('label', 'NN'), ('tape', 'NN')]"
1064,neutral,"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .","['nokia', 'announce', 'launch', 'bicycle', 'charger', 'kit', 'compatible', 'nokia', 'phone', 'mm', 'charge', 'interface']","[('nokia', 'JJ'), ('announce', 'NN'), ('launch', 'NN'), ('bicycle', 'NN'), ('charger', 'NN'), ('kit', 'NN'), ('compatible', 'JJ'), ('nokia', 'JJ'), ('phone', 'NN'), ('mm', 'NN'), ('charge', 'NN'), ('interface', 'NN')]"
1065,neutral,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .","['basis', 'competitive', 'bid', 'ooo', 'kitai', 'stroi', 'russian', 'subsidiary', 'china', 'state', 'construction', 'engineer', 'corporation', 'construction', 'company', 'own', 'china', 'state', 'select', 'main', 'constructor']","[('basis', 'NN'), ('competitive', 'JJ'), ('bid', 'NN'), ('ooo', 'VBZ'), ('kitai', 'VBN'), ('stroi', 'JJ'), ('russian', 'JJ'), ('subsidiary', 'NN'), ('china', 'NN'), ('state', 'NN'), ('construction', 'NN'), ('engineer', 'NN'), ('corporation', 'NN'), ('construction', 'NN'), ('company', 'NN'), ('own', 'JJ'), ('china', 'NN'), ('state', 'NN'), ('select', 'NN'), ('main', 'JJ'), ('constructor', 'NN')]"
1066,neutral,"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .","['time', 'nokia', 'india', 'large', 'mnc', 'seek', 'topic', 'could', 'spark', 'million', 'approach', 'creativity', 'emerge', 'market']","[('time', 'NN'), ('nokia', 'CC'), ('india', 'VB'), ('large', 'JJ'), ('mnc', 'NN'), ('seek', 'NN'), ('topic', 'NN'), ('could', 'MD'), ('spark', 'VB'), ('million', 'CD'), ('approach', 'NN'), ('creativity', 'NN'), ('emerge', 'VBP'), ('market', 'NN')]"
1067,positive,Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,"['carrier', 'handset', 'maker', 'spin', 'positive', 'event', 'raise', 'interest', 'higherend', 'phone', 'pricy', 'data', 'plan']","[('carrier', 'NN'), ('handset', 'NN'), ('maker', 'NN'), ('spin', 'VBD'), ('positive', 'JJ'), ('event', 'NN'), ('raise', 'NN'), ('interest', 'NN'), ('higherend', 'VBP'), ('phone', 'NN'), ('pricy', 'NN'), ('data', 'NNS'), ('plan', 'NN')]"
1068,neutral,Other potential clients include public administration organizations investing in utility networks and services .,"['potential', 'client', 'include', 'public', 'administration', 'organization', 'invest', 'utility', 'network', 'service']","[('potential', 'JJ'), ('client', 'NN'), ('include', 'VBP'), ('public', 'JJ'), ('administration', 'NN'), ('organization', 'NN'), ('invest', 'JJS'), ('utility', 'NN'), ('network', 'NN'), ('service', 'NN')]"
1069,neutral,"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .","['solution', 'fully', 'arabized', 'message', 'want', 'become', 'partner', 'choice', 'business', 'neareast', 'region']","[('solution', 'NN'), ('fully', 'RB'), ('arabized', 'VBN'), ('message', 'NN'), ('want', 'VBP'), ('become', 'JJ'), ('partner', 'NN'), ('choice', 'NN'), ('business', 'NN'), ('neareast', 'NN'), ('region', 'NN')]"
1070,positive,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .","['pearl', 'plaza', 'llc', 'joint', 'venture', 'srv', 'shanghai', 'industrial', 'investment', 'hold', 'co', 'ltd', 'conclude', 'investment', 'decision', 'construction', 'first', 'phase', 'shop', 'center', 'saint', 'petersburg', 'russia']","[('pearl', 'NN'), ('plaza', 'NN'), ('llc', 'VBD'), ('joint', 'JJ'), ('venture', 'NN'), ('srv', 'NN'), ('shanghai', 'VBP'), ('industrial', 'JJ'), ('investment', 'NN'), ('hold', 'NN'), ('co', 'NN'), ('ltd', 'JJ'), ('conclude', 'NN'), ('investment', 'NN'), ('decision', 'NN'), ('construction', 'NN'), ('first', 'RB'), ('phase', 'NN'), ('shop', 'NN'), ('center', 'NN'), ('saint', 'NN'), ('petersburg', 'NN'), ('russia', 'NN')]"
1071,neutral,"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .","['poyry', 'plc', 'additional', 'information', 'martin', 'kuzaj', 'president', 'industry', 'business', 'group', 'finland', 'tel', 'sanna', 'paivaniemi', 'director', 'investor', 'relation', 'poyry', 'plc', 'finland', 'tel', 'poyry', 'global', 'consult', 'engineer', 'company', 'dedicate', 'balance', 'sustainability']","[('poyry', 'NN'), ('plc', 'VBZ'), ('additional', 'JJ'), ('information', 'NN'), ('martin', 'NN'), ('kuzaj', 'NN'), ('president', 'NN'), ('industry', 'NN'), ('business', 'NN'), ('group', 'NN'), ('finland', 'VBP'), ('tel', 'NN'), ('sanna', 'NN'), ('paivaniemi', 'JJ'), ('director', 'NN'), ('investor', 'NN'), ('relation', 'NN'), ('poyry', 'NN'), ('plc', 'NN'), ('finland', 'NN'), ('tel', 'NN'), ('poyry', 'NN'), ('global', 'JJ'), ('consult', 'NN'), ('engineer', 'NN'), ('company', 'NN'), ('dedicate', 'VB'), ('balance', 'NN'), ('sustainability', 'NN')]"
1072,neutral,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .","['professional', 'consumer', 'application', 'include', 'personal', 'navigation', 'personal', 'safety', 'field', 'workflow', 'management', 'asset', 'track']","[('professional', 'JJ'), ('consumer', 'NN'), ('application', 'NN'), ('include', 'VBP'), ('personal', 'JJ'), ('navigation', 'NN'), ('personal', 'JJ'), ('safety', 'NN'), ('field', 'NN'), ('workflow', 'JJ'), ('management', 'NN'), ('asset', 'NN'), ('track', 'NN')]"
1073,neutral,Satama and Trainers ' House will remain as names and independent brands of the business areas .,"['satama', 'trainer', 'house', 'remain', 'name', 'independent', 'brand', 'business', 'area']","[('satama', 'NN'), ('trainer', 'NN'), ('house', 'NN'), ('remain', 'VBP'), ('name', 'JJ'), ('independent', 'JJ'), ('brand', 'NN'), ('business', 'NN'), ('area', 'NN')]"
1074,neutral,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .","['talvik', 'say', 'relocation', 'application', 'program', 'server', 'continue', 'hp', 'server', 'approve', 'hp', 'supply', 'tailormade', 'solution', 'elisa']","[('talvik', 'NNS'), ('say', 'VBP'), ('relocation', 'NN'), ('application', 'NN'), ('program', 'NN'), ('server', 'NN'), ('continue', 'VBP'), ('hp', 'NN'), ('server', 'NN'), ('approve', 'VB'), ('hp', 'NN'), ('supply', 'NN'), ('tailormade', 'JJ'), ('solution', 'NN'), ('elisa', 'NN')]"
1075,positive,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .","['technopolis', 'st', 'petersburg', 'government', 'sign', 'cooperation', 'memorandum', 'october', 'set', 'technopark', 'neudorf', 'production', 'zone', 'village', 'strelny', 'st', 'petersburg', 'suburb']","[('technopolis', 'NNS'), ('st', 'VBP'), ('petersburg', 'JJ'), ('government', 'NN'), ('sign', 'NN'), ('cooperation', 'NN'), ('memorandum', 'NN'), ('october', 'NNP'), ('set', 'VBD'), ('technopark', 'JJ'), ('neudorf', 'JJ'), ('production', 'NN'), ('zone', 'NN'), ('village', 'NN'), ('strelny', 'NN'), ('st', 'NN'), ('petersburg', 'NN'), ('suburb', 'NN')]"
1076,neutral,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,"['tekla', 'structure', 'team', 'compatible', 'window', 'operate', 'system']","[('tekla', 'NN'), ('structure', 'NN'), ('team', 'NN'), ('compatible', 'JJ'), ('window', 'NN'), ('operate', 'NN'), ('system', 'NN')]"
1077,positive,"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .","['tekla', 'structure', 'bim', 'build', 'information', 'model', 'software', 'develop', 'accord', 'longterm', 'plan', 'improve', 'user', 'experience', 'process', 'functionality']","[('tekla', 'NN'), ('structure', 'NN'), ('bim', 'VBZ'), ('build', 'JJ'), ('information', 'NN'), ('model', 'NN'), ('software', 'NN'), ('develop', 'VB'), ('accord', 'JJ'), ('longterm', 'NN'), ('plan', 'NN'), ('improve', 'VB'), ('user', 'JJ'), ('experience', 'NN'), ('process', 'NN'), ('functionality', 'NN')]"
1078,positive,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,"['teliasonera', 'lead', 'telecommunication', 'company', 'nordic', 'baltic', 'region']","[('teliasonera', 'NN'), ('lead', 'NN'), ('telecommunication', 'NN'), ('company', 'NN'), ('nordic', 'JJ'), ('baltic', 'JJ'), ('region', 'NN')]"
1079,neutral,"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .","['mention', 'shareholder', 'suggest', 'monthly', 'salary', 'eur', 'would', 'pay', 'board', 'member', 'outside', 'company']","[('mention', 'NN'), ('shareholder', 'NN'), ('suggest', 'VBP'), ('monthly', 'RB'), ('salary', 'JJ'), ('eur', 'NN'), ('would', 'MD'), ('pay', 'VB'), ('board', 'NN'), ('member', 'NN'), ('outside', 'IN'), ('company', 'NN')]"
1080,neutral,"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .","['address', 'location', 'provide', 'local', 'controller', 'preferably', 'wireless', 'transmission', 'us', 'address', 'location', 'access', 'appliance', 'control', 'module']","[('address', 'NN'), ('location', 'NN'), ('provide', 'VBP'), ('local', 'JJ'), ('controller', 'NN'), ('preferably', 'RB'), ('wireless', 'JJ'), ('transmission', 'NN'), ('us', 'PRP'), ('address', 'JJ'), ('location', 'NN'), ('access', 'NN'), ('appliance', 'NN'), ('control', 'NN'), ('module', 'NN')]"
1081,neutral,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,"['aim', 'bridge', 'solution', 'choose', 'minimize', 'construction', 'time', 'ensure', 'traffic', 'beneath', 'bridge', 'saimaa', 'canal', 'continue', 'undisturbed']","[('aim', 'NN'), ('bridge', 'NN'), ('solution', 'NN'), ('choose', 'JJ'), ('minimize', 'VB'), ('construction', 'NN'), ('time', 'NN'), ('ensure', 'VB'), ('traffic', 'NN'), ('beneath', 'NN'), ('bridge', 'NN'), ('saimaa', 'VBD'), ('canal', 'JJ'), ('continue', 'NN'), ('undisturbed', 'VBD')]"
1082,neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,"['bank', 'also', 'examine', 'benefit', 'transfer', 'swedish', 'business', 'operate', 'branch', 'office', 'operation', 'would', 'govern', 'finland', 'law']","[('bank', 'NN'), ('also', 'RB'), ('examine', 'JJ'), ('benefit', 'NN'), ('transfer', 'NN'), ('swedish', 'JJ'), ('business', 'NN'), ('operate', 'NN'), ('branch', 'NN'), ('office', 'NN'), ('operation', 'NN'), ('would', 'MD'), ('govern', 'VB'), ('finland', 'NN'), ('law', 'NN')]"
1083,neutral,The company admits that 36 months is a relatively short time when operating in Russia .,"['company', 'admit', 'month', 'relatively', 'short', 'time', 'operate', 'russia']","[('company', 'NN'), ('admit', 'VBP'), ('month', 'NN'), ('relatively', 'RB'), ('short', 'JJ'), ('time', 'NN'), ('operate', 'JJ'), ('russia', 'NN')]"
1084,neutral,The company has a wide selection of metal products and services .,"['company', 'wide', 'selection', 'metal', 'product', 'service']","[('company', 'NN'), ('wide', 'JJ'), ('selection', 'NN'), ('metal', 'NN'), ('product', 'NN'), ('service', 'NN')]"
1085,neutral,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .","['company', 'charge', 'natural', 'gas', 'storage', 'activity', 'france', 'great', 'britain', 'germany']","[('company', 'NN'), ('charge', 'NN'), ('natural', 'JJ'), ('gas', 'NN'), ('storage', 'NN'), ('activity', 'NN'), ('france', 'NN'), ('great', 'JJ'), ('britain', 'NN'), ('germany', 'NN')]"
1086,neutral,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,"['cooperation', 'airbaltic', 'expect', 'lead', 'transfer', 'finncomm', 'ownership', 'airbaltic', 'time']","[('cooperation', 'NN'), ('airbaltic', 'JJ'), ('expect', 'VBP'), ('lead', 'JJ'), ('transfer', 'NN'), ('finncomm', 'JJ'), ('ownership', 'NN'), ('airbaltic', 'JJ'), ('time', 'NN')]"
1087,neutral,The Court 's decision will also promote genuine competition in services,"['court', 'decision', 'also', 'promote', 'genuine', 'competition', 'service']","[('court', 'NN'), ('decision', 'NN'), ('also', 'RB'), ('promote', 'VBP'), ('genuine', 'JJ'), ('competition', 'NN'), ('service', 'NN')]"
1088,neutral,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .","['daily', 'graphic', 'newspaper', 'october', 'report', 'initiative', 'embark', 'upon', 'fidelity', 'bank', 'partner', 'ghana', 'post', 'office', 'across', 'country', 'offer', 'financial', 'service', 'unbanked', 'underbanked', 'country']","[('daily', 'JJ'), ('graphic', 'JJ'), ('newspaper', 'NN'), ('october', 'NNP'), ('report', 'NN'), ('initiative', 'NN'), ('embark', 'NN'), ('upon', 'IN'), ('fidelity', 'NN'), ('bank', 'NN'), ('partner', 'NN'), ('ghana', 'VBZ'), ('post', 'NN'), ('office', 'NN'), ('across', 'IN'), ('country', 'NN'), ('offer', 'VBP'), ('financial', 'JJ'), ('service', 'NN'), ('unbanked', 'VBD'), ('underbanked', 'JJ'), ('country', 'NN')]"
1089,neutral,"The device can also be used for theft protection and positioning of vehicles , boats and other assets .","['device', 'also', 'use', 'theft', 'protection', 'position', 'vehicle', 'boat', 'asset']","[('device', 'NN'), ('also', 'RB'), ('use', 'VBP'), ('theft', 'NN'), ('protection', 'NN'), ('position', 'NN'), ('vehicle', 'NN'), ('boat', 'NN'), ('asset', 'NN')]"
1090,neutral,"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+�skyl+� , Oulu and Vaasa , and to polytechnics to be announced later .","['donation', 'grant', 'aalto', 'university', 'university', 'helsinki', 'tampere', 'turku', 'eastern', 'finland', 'jyvskyl', 'oulu', 'vaasa', 'polytechnic', 'announce', 'late']","[('donation', 'NN'), ('grant', 'NN'), ('aalto', 'NN'), ('university', 'NN'), ('university', 'NN'), ('helsinki', 'NN'), ('tampere', 'RB'), ('turku', 'JJ'), ('eastern', 'JJ'), ('finland', 'NN'), ('jyvskyl', 'NN'), ('oulu', 'IN'), ('vaasa', 'NN'), ('polytechnic', 'JJ'), ('announce', 'NN'), ('late', 'JJ')]"
1091,neutral,"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .","['estonian', 'beverage', 'maker', 'le', 'coq', 'today', 'bring', 'market', 'new', 'premium', 'class', 'beer', 'le', 'coq', 'special', 'invest', 'million', 'kroon', 'eur', 'development', 'plan', 'sell', 'three', 'million', 'liter', 'beer', 'next', 'year']","[('estonian', 'JJ'), ('beverage', 'NN'), ('maker', 'NN'), ('le', 'VBZ'), ('coq', 'NNS'), ('today', 'NN'), ('bring', 'VBP'), ('market', 'NN'), ('new', 'JJ'), ('premium', 'JJ'), ('class', 'NN'), ('beer', 'NN'), ('le', 'NN'), ('coq', 'VBP'), ('special', 'JJ'), ('invest', 'JJS'), ('million', 'CD'), ('kroon', 'NN'), ('eur', 'NN'), ('development', 'NN'), ('plan', 'NN'), ('sell', 'VBP'), ('three', 'CD'), ('million', 'CD'), ('liter', 'JJR'), ('beer', 'NN'), ('next', 'IN'), ('year', 'NN')]"
1092,neutral,The first phase will be completed by the end of 2012 .,"['first', 'phase', 'complete', 'end']","[('first', 'JJ'), ('phase', 'NN'), ('complete', 'JJ'), ('end', 'NN')]"
1093,neutral,"The guidance has been set at 90 basis points over mid-swaps , the report said .","['guidance', 'set', 'basis', 'point', 'midswaps', 'report', 'say']","[('guidance', 'NN'), ('set', 'VBN'), ('basis', 'NN'), ('point', 'NN'), ('midswaps', 'NNS'), ('report', 'VBP'), ('say', 'VBP')]"
1094,neutral,The invention carries International Patent Publication No. .,"['invention', 'carry', 'international', 'patent', 'publication']","[('invention', 'NN'), ('carry', 'VBP'), ('international', 'JJ'), ('patent', 'NN'), ('publication', 'NN')]"
1095,neutral,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .","['inventor', 'bylander', 'johan', 'ponten', 'fredrik', 'lundberg', 'jorgen']","[('inventor', 'NN'), ('bylander', 'NN'), ('johan', 'NN'), ('ponten', 'VBP'), ('fredrik', 'JJ'), ('lundberg', 'NN'), ('jorgen', 'NN')]"
1096,neutral,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .","['inventor', 'mukkavilli', 'krishna', 'kiran', 'sabharwal', 'ashutosh', 'aazhang', 'behnaam']","[('inventor', 'NN'), ('mukkavilli', 'NN'), ('krishna', 'NN'), ('kiran', 'VBD'), ('sabharwal', 'JJ'), ('ashutosh', 'NN'), ('aazhang', 'NN'), ('behnaam', 'NN')]"
1097,neutral,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .","['inventor', 'ridge', 'justin', 'bao', 'yiliang', 'karczewicz', 'marta']","[('inventor', 'NN'), ('ridge', 'NN'), ('justin', 'NN'), ('bao', 'NN'), ('yiliang', 'NN'), ('karczewicz', 'VBD'), ('marta', 'NN')]"
1098,neutral,The issuer is solely responsible for the content of this announcement .,"['issuer', 'solely', 'responsible', 'content', 'announcement']","[('issuer', 'NN'), ('solely', 'RB'), ('responsible', 'JJ'), ('content', 'JJ'), ('announcement', 'NN')]"
1100,neutral,"The market making in accordance with the agreement will begin on September 24 , 2009 .","['market', 'make', 'accordance', 'agreement', 'begin', 'september']","[('market', 'NN'), ('make', 'VBP'), ('accordance', 'NN'), ('agreement', 'NN'), ('begin', 'IN'), ('september', 'NN')]"
1101,neutral,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .","['offer', 'price', 'million', 'include', 'cash', 'million', 'net', 'debt', 'assumption', 'face', 'million', 'worth', 'cencorp', 'share', 'issue', 'savcor']","[('offer', 'NN'), ('price', 'NN'), ('million', 'CD'), ('include', 'VBP'), ('cash', 'NN'), ('million', 'CD'), ('net', 'JJ'), ('debt', 'NN'), ('assumption', 'NN'), ('face', 'NN'), ('million', 'CD'), ('worth', 'NN'), ('cencorp', 'NNS'), ('share', 'NN'), ('issue', 'NN'), ('savcor', 'NN')]"
1102,neutral,The ore body is sufficient to support anticipated production for at least 46 years .,"['ore', 'body', 'sufficient', 'support', 'anticipate', 'production', 'least', 'year']","[('ore', 'IN'), ('body', 'NN'), ('sufficient', 'JJ'), ('support', 'NN'), ('anticipate', 'NN'), ('production', 'NN'), ('least', 'CD'), ('year', 'NN')]"
1103,neutral,The original patent was filed in Finland under application No. .,"['original', 'patent', 'file', 'finland', 'application']","[('original', 'JJ'), ('patent', 'NN'), ('file', 'NN'), ('finland', 'NN'), ('application', 'NN')]"
1104,neutral,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .","['relocation', 'ragot', 'already', 'start', 'complete', 'next', 'week', 'waterqueen', 'tortue', 'move', 'plan', 'mid', 'vmc', 'europe', 'third', 'quarter']","[('relocation', 'NN'), ('ragot', 'VBD'), ('already', 'RB'), ('start', 'VB'), ('complete', 'JJ'), ('next', 'JJ'), ('week', 'NN'), ('waterqueen', 'JJ'), ('tortue', 'NN'), ('move', 'NN'), ('plan', 'NN'), ('mid', 'VBZ'), ('vmc', 'JJ'), ('europe', 'JJ'), ('third', 'JJ'), ('quarter', 'NN')]"
1105,positive,"The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .","['report', 'provide', 'comprehensive', 'insight', 'company', 'include', 'business', 'structure', 'operation', 'executive', 'biography', 'key', 'competitor']","[('report', 'NN'), ('provide', 'VBP'), ('comprehensive', 'JJ'), ('insight', 'JJ'), ('company', 'NN'), ('include', 'VBP'), ('business', 'NN'), ('structure', 'NN'), ('operation', 'NN'), ('executive', 'NN'), ('biography', 'NN'), ('key', 'JJ'), ('competitor', 'NN')]"
1106,neutral,"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .","['reward', 'pay', 'basis', 'earn', 'period', 'correspond', 'value', 'maximum', 'total', 'componenta', 'corporation', 'share', 'include', 'also', 'proportion', 'pay', 'cash']","[('reward', 'JJ'), ('pay', 'NN'), ('basis', 'NN'), ('earn', 'VBP'), ('period', 'NN'), ('correspond', 'NN'), ('value', 'NN'), ('maximum', 'JJ'), ('total', 'JJ'), ('componenta', 'NN'), ('corporation', 'NN'), ('share', 'NN'), ('include', 'VBP'), ('also', 'RB'), ('proportion', 'JJ'), ('pay', 'NN'), ('cash', 'NN')]"
1107,neutral,The right margin will be viewed separately in detail with every customer .,"['right', 'margin', 'view', 'separately', 'detail', 'every', 'customer']","[('right', 'JJ'), ('margin', 'NN'), ('view', 'NN'), ('separately', 'RB'), ('detail', 'NN'), ('every', 'DT'), ('customer', 'NN')]"
